position	team	degree	popularity	name	surname
discrete	discrete	continuous	continuous	string	string
				meta	meta
Goalkeeper	Albania	0.0	0.0	Etrit	Berisha
Goalkeeper	Albania	0.0	0.0	Orges	Shehi
Goalkeeper	Albania	0.0	0.0	Alban	Hoxha
Defender	Albania	1.0	0.0	Lorik	Cana
Defender	Albania	0.0	0.0	Mërgim	Mavraj
Defender	Albania	0.0	0.0	Elseid	Hysaj
Defender	Albania	0.0	0.0	Ansi	Agolli
Defender	Albania	0.0	0.0	Arlind	Ajeti
Defender	Albania	0.0	0.0	Naser	Aliji
Defender	Albania	0.0	0.0	Frédéric	Veseli
Midfielder	Albania	1.0	0.0	Taulant	Xhaka
Midfielder	Albania	0.0	0.0	Amir	Abrashi
Midfielder	Albania	0.0	0.0	Ledian	Memushaj
Midfielder	Albania	0.0	0.0	Migjen	Basha
Midfielder	Albania	0.0	0.0	Burim	Kukeli
Midfielder	Albania	0.0	0.0	Ergys	Kaçe
Midfielder	Albania	0.0	0.0	Andi	Lila
Midfielder	Albania	0.0	0.0	Ermir	Lenjani
Midfielder	Albania	0.0	0.0	Odise	Roshi
Forward	Albania	0.0	0.0	Shkëlzen	Gashi
Forward	Albania	0.0	0.0	Sokol	Çikalleshi
Forward	Albania	0.0	0.0	Bekim	Balaj
Forward	Albania	1.0	0.0	Armando	Sadiku
Goalkeeper	Austria	0.0	0.0	Robert	Almer
Goalkeeper	Austria	0.0	0.0	Ramazan	Özcan
Goalkeeper	Austria	0.0	0.0	Heinz	Lindner
Defender	Austria	0.0	0.0	Aleksandar	Dragović
Defender	Austria	0.0	0.0	Kevin	Wimmer
Defender	Austria	0.0	0.0	Martin	Hinteregger
Defender	Austria	0.0	0.0	Sebastian	Prödl
Defender	Austria	2.0	0.0	Florian	Klein
Defender	Austria	0.0	0.0	György	Garics
Defender	Austria	0.0	0.0	Christian	Fuchs
Defender	Austria	0.0	0.0	Markus	Suttner
Midfielder	Austria	0.0	0.0	Stefan	Ilsanker
Midfielder	Austria	0.0	0.0	Julian	Baumgartlinger
Midfielder	Austria	0.0	0.0	David	Alaba
Midfielder	Austria	0.0	0.0	Marko	Arnautovic
Midfielder	Austria	0.0	0.0	Martin	Harnik
Midfielder	Austria	0.0	0.0	Jakob	Jantscher
Forward	Austria	0.0	0.0	Marcel	Sabitzer
Forward	Austria	0.0	0.0	Zlatko	Junuzovic
Midfielder	Austria	0.0	0.0	Alessandro	Schöpf
Forward	Austria	0.0	0.0	Rubin	Okotie
Forward	Austria	0.0	0.0	Lukas	Hinterseer
Forward	Austria	0.0	0.0	Marc	Janko
Goalkeeper	Belgium	1.0	0.0	Thibaut	Courtois
Goalkeeper	Belgium	4.0	0.0	Simon	Mignolet
Goalkeeper	Belgium	0.0	0.0	Jean-François	Gillet
Defender	Belgium	7.0	0.0	Toby	Alderweireld
Defender	Belgium	0.0	0.0	Thomas	Meunier
Defender	Belgium	0.0	0.0	Christian	Kabasele
Defender	Belgium	0.0	0.0	Laurent	Ciman
Defender	Belgium	0.0	0.0	Jason	Denayer
Defender	Belgium	1.0	0.0	Thomas	Vermaelen
Defender	Belgium	1.0	0.0	Jordan	Lukaku
Defender	Belgium	1.0	0.0	Jan	Vertonghen
Midfielder	Belgium	0.0	0.0	Axel	Witsel
Midfielder	Belgium	0.0	0.0	Radja	Nainggolan
Midfielder	Belgium	1.0	0.0	Marouane	Fellaini
Midfielder	Belgium	0.0	0.0	Moussa	Dembélé
Midfielder	Belgium	6.0	0.0	Kevin	De Bruyne
Midfielder	Belgium	19.0	0.0	Eden	Hazard
Midfielder	Belgium	3.0	0.0	Yannick	Ferreira-Carrasco
Midfielder	Belgium	0.0	0.0	Dries	Mertens
Forward	Belgium	1.0	0.0	Romelu	Lukaku
Forward	Belgium	4.0	0.0	Christian	Benteke
Forward	Belgium	5.0	0.0	Michy	Batshuayi
Forward	Belgium	4.0	0.0	Divock	Origi
Goalkeeper	Croatia	0.0	0.0	Danijel	Subašić
Goalkeeper	Croatia	0.0	0.0	Lovre	Kalinić
Goalkeeper	Croatia	0.0	0.0	Ivan	Vargić
Defender	Croatia	0.0	0.0	Darijo	Srna
Defender	Croatia	0.0	0.0	Šime	Vrsaljko
Defender	Croatia	0.0	0.0	Vedran	Ćorluka
Defender	Croatia	0.0	0.0	Domagoj	Vida
Defender	Croatia	0.0	0.0	Tin	Jedvaj
Defender	Croatia	0.0	0.0	Gordon	Schildenfeld
Defender	Croatia	0.0	0.0	Ivan	Strinić
Midfielder	Croatia	0.0	0.0	Luka	Modrić
Midfielder	Croatia	0.0	0.0	Ivan	Rakitić
Midfielder	Croatia	0.0	0.0	Marcelo	Brozović
Midfielder	Croatia	0.0	0.0	Mateo	Kovačić
Midfielder	Croatia	0.0	0.0	Milan	Badelj
Midfielder	Croatia	0.0	0.0	Ante	Ćorić
Midfielder	Croatia	6.0	0.0	Marko	Rog
Forward	Croatia	0.0	0.0	Marko	Pjaca
Midfielder	Croatia	0.0	0.0	Ivan	Perišić
Forward	Croatia	0.0	0.0	Mario	Mandžukić
Forward	Croatia	0.0	0.0	Nikola	Kalinić
Forward	Croatia	0.0	0.0	Andrej	Kramarić
Forward	Croatia	0.0	0.0	Duje	Čop
Goalkeeper	Czech	0.0	0.0	Petr	Čech
Goalkeeper	Czech	0.0	0.0	Tomáš	Vaclík
Goalkeeper	Czech	0.0	0.0	Tomáš	Koubek
Defender	Czech	0.0	0.0	Roman	Hubník
