number	degree	degree	popularity	name
continuous	continuous	continuous	continuous	string
				meta
1.0		0.0	0.0	Hoster
2.0		0.0	0.0	Rickard
3.0		16.0	83.0	Sansa
4.0		6.0	37.0	Val
5.0		1.0	1.0	Renly
6.0		0.0	0.0	Beric
7.0		0.0	0.0	Eddison
8.0		7.0	1.0	Pycelle
9.0		0.0	1.0	Tywin
10.0		2.0	3.0	Olenna
11.0		1.0	4.0	Worm
12.0		2.0	6.0	Margaery
13.0		0.0	0.0	Marillion
14.0		0.0	0.0	Chataya
15.0		8.0	20.0	Bran
16.0		0.0	0.0	Salladhor
17.0		0.0	0.0	Kraznys
18.0		0.0	0.0	Grenn
19.0		0.0	0.0	Samwell
20.0		0.0	0.0	Aegon
21.0		0.0	0.0	Doran
22.0		0.0	0.0	Jeyne
23.0		0.0	0.0	Jon Arryn
24.0		1.0	5.0	Varys
25.0		0.0	2.0	Eddard
26.0		0.0	2.0	Mance
27.0		0.0	0.0	Meera
28.0		0.0	0.0	Elia
29.0		2.0	3.0	Rhaegar
30.0		0.0	0.0	Roslin
31.0		3.0	12.0	Gendry
32.0		9.0	4.0	Melisandre
33.0		8.0	22.0	Jaime
34.0		0.0	0.0	Brynden
35.0		1.0	1.0	Shae
36.0		0.0	0.0	Luwin
37.0		10.0	26.0	Theon
38.0		3.0	5.0	Robert
39.0		14.0	66.0	Cersei
40.0		1.0	2.0	Sandor
41.0		0.0	1.0	Walton
42.0		0.0	1.0	Craster
43.0		0.0	1.0	Karl
44.0		1.0	10.0	Drogo
45.0		0.0	0.0	Edmure
46.0		2.0	1.0	Qyburn
47.0		0.0	1.0	Oberyn
48.0		0.0	0.0	Thoros
49.0		1.0	1.0	Ygritte
50.0		0.0	0.0	Aemon
51.0		8.0	38.0	Ramsay
52.0		5.0	31.0	Hodor
53.0		0.0	0.0	Qhorin
54.0		3.0	6.0	Davos
55.0		0.0	0.0	Rattleshirt
56.0		4.0	15.0	Joffrey
57.0		0.0	0.0	Lysa
58.0		1.0	2.0	Gregor
59.0		0.0	0.0	Barristan
60.0		0.0	0.0	Bowen
61.0		7.0	4.0	Walder
62.0		0.0	1.0	Viserys
63.0		0.0	0.0	Janos
64.0		0.0	0.0	Rakharo
65.0		0.0	0.0	Styr
66.0		0.0	5.0	Robb
67.0		0.0	0.0	Stannis
68.0		0.0	0.0	Dalla
69.0		0.0	0.0	Roose
70.0		0.0	0.0	Amory
71.0		1.0	3.0	Bronn
72.0		0.0	0.0	Podrick
73.0		10.0	60.0	Arya
74.0		10.0	35.0	Tyrion
75.0		10.0	17.0	Tommen
76.0		0.0	0.0	Belwas
77.0		0.0	0.0	Orell
78.0		8.0	3.0	Mace
79.0		0.0	1.0	Gilly
80.0		0.0	0.0	Myrcella
81.0		0.0	0.0	Lothar
82.0		0.0	0.0	Ellaria
83.0		0.0	0.0	Meryn
84.0		0.0	0.0	Illyrio
85.0		3.0	6.0	Shireen
86.0		0.0	0.0	Missandei
87.0		0.0	1.0	Daario
88.0		3.0	15.0	Brienne
89.0		7.0	2.0	Kevan
90.0		0.0	0.0	Ilyn
91.0		2.0	3.0	Petyr
92.0		2.0	2.0	Aerys
93.0		7.0	1.0	Lancel
94.0		0.0	0.0	Anguy
95.0		2.0	7.0	Nan
96.0		9.0	48.0	Daenerys
97.0		1.0	5.0	Jorah
98.0		0.0	1.0	Catelyn
99.0		17.0	224.0	Jon
100.0		0.0	0.0	Alliser
101.0		0.0	0.0	Balon
102.0		0.0	0.0	Jojen
103.0		6.0	28.0	Rickon
104.0		7.0	1.0	Loras
105.0		0.0	0.0	Cressen
106.0		0.0	0.0	Robert Arryn
107.0		0.0	0.0	Irri
