created_at	author_screen_name	text
time	discrete	string
		meta
2016-06-26 21:59:58	aspnradiocom	RT @easygoer132: #England hasn’t won a knockout game in 10 years! https://t.co/hGunzNdQwM #Iceland #Soccer #Football #EURO2016 ⚽ @STL_Blonde
2016-06-26 21:59:58	eklhshm	RT @ChelseaFC: .@hazardeden10 - superb!  #Euro2016 #HUNBEL https://t.co/Iu2fKuJT4i
2016-06-26 21:59:58	t_hisashi	RT @UEFAcomJoeW: One imagine on the front page of the national dailies today: Ricardo @07RQuaresma #POR #EURO2016 https://t.co/SRrVQzvpoq
2016-06-26 21:59:57	t_hisashi	"RT @UEFAcomJoeW: Spain's @Marca labels Bale &amp; Ronaldo ""A pair of heroes"". Are they on for a semi-final showdown #EURO2016 #POR #WAL https:/…"
2016-06-26 21:59:56	t_hisashi	"RT @UEFAcomJoeW: Today's @abolapt front cover is one full of joy - ""We're only stopping in Paris!"" #POR #EURO2016 https://t.co/xjRKJnoXvD"
2016-06-26 21:59:55	t_hisashi	RT @DFB_Team_EN: White shirts, black shorts, black socks again today for #GER against #SVK, who will wear all blue. #GERSVK #EURO2016 https…
2016-06-26 21:59:55	KKT___	"RT @SuperSportTV: Want daily #EURO2016 highlights sent to you on twitter?
Retweet this tweet &amp; we'll take care of the rest
#SSFootball http…"
2016-06-26 21:59:54	ronaldo7116	"RT @UEFAEURO: Here's how the @adidas Golden Boot is shaping up...
MORE: https://t.co/SQ3vJ7rBWf
#EURO2016 https://t.co/f7RDnXcEhL"
2016-06-26 21:59:52	mew_brownnie	RT @ChelseaFC: Congratulations to @thibautcourtois and @hazardeden10! Next up - quarter-finals. #Euro2016 https://t.co/3az5LohNGe https://t…
2016-06-26 21:59:51	mattyvrmnt	RT @stubru: Next up: Wales. #HUNBEL #EURO2016 https://t.co/Inqiqf94Hz
2016-06-26 21:59:49	freddy_oro22	RT @UEFAEURO: 🎉 Belgium's 4-0 win against Hungary is their biggest-ever win at a major tournament. Bravo! 🎉 #EURO2016 https://t.co/8p1Hj722…
