label 0,degree,popularity,id
Sansa,16,83,3
Val,6,37,4
Renly,1,1,5
Pycelle,7,1,8
Tywin,0,1,9
Olenna,2,3,10
Worm,1,4,11
Margaery,2,6,12
Bran,8,20,15
Varys,1,5,24
Eddard,0,2,25
Mance,0,2,26
Rhaegar,2,3,29
Gendry,3,12,31
Melisandre,9,4,32
Jaime,8,22,33
Shae,1,1,35
Theon,10,26,37
Robert,3,5,38
Cersei,14,66,39
Sandor,1,2,40
Walton,0,1,41
Craster,0,1,42
Karl,0,1,43
Drogo,1,10,44
Qyburn,2,1,46
Oberyn,0,1,47
Ygritte,1,1,49
Ramsay,8,38,51
Hodor,5,31,52
Davos,3,6,54
Joffrey,4,15,56
Gregor,1,2,58
Walder,7,4,61
Viserys,0,1,62
Robb,0,5,66
Bronn,1,3,71
Arya,10,60,73
Tyrion,10,35,74
Tommen,10,17,75
Mace,8,3,78
Gilly,0,1,79
Shireen,3,6,85
Daario,0,1,87
Brienne,3,15,88
Kevan,7,2,89
Petyr,2,3,91
Aerys,2,2,92
Lancel,7,1,93
Nan,2,7,95
Daenerys,9,48,96
Jorah,1,5,97
Catelyn,0,1,98
Jon,17,224,99
Rickon,6,28,103
Loras,7,1,104
