Timestamp,Starost:,Spol:,Katera družabna omrežja uporabljaš?,Amelie (2001),"Izvor (Inception,  2010)","Vitez teme (The Dark Knight, 2008)",Titanic (1997),"Beležnica (Notebook, 2004)","3 idioti (3 Idiots, 2009)","Matrica (Matrix, 1999)","Življenje je lepo (La vita e' bella, 1997)","Veliki Lebowski (Big Lebowski, 1998)","Reševanje vojaka Ryana (Saving private Ryan, 1998)","Hobiji, s katerim se ukvarjaš:","Športi, s katerimi se ukvarjaš:","Glasba, ki jo poslušaš:"
2016-06-01 04:59:05,,Ž,Facebook;Snapchat;Instagram;Tumblr;YouTube,0,0,0,3,4,0,0,0,0,0,"branje;pisanje poezije, proze;glasba, petje;slikanje, risanje, fotografija","tek, atletika;plezanje;kolesarjenje;vodni športi (kitesurfing, windsurfing, jadranje...);smučanje, bordanje","pop;r'n'b / soul;rock;jazz;blues;klasična glasba;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-03 08:07:14,17,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,0,3,4,0,0,0,0,0,"gledališče;glasba, petje;kuhanje, kulinarika;družabne igre;reševanje ugank",odbojka;kolesarjenje,"pop;r'n'b / soul;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-03 08:17:25,19,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,0,5,5,0,0,0,0,0,"branje;slikanje, risanje, fotografija",,pop;r'n'b / soul;rap / hip-hop;folk
2016-06-03 09:35:44,18,Ž,Facebook;Twitter;Snapchat;Pinterest;YouTube,0,0,0,5,5,0,0,0,0,0,"kuhanje, kulinarika;družabne igre",,"pop;r'n'b / soul;rock;folk;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...);alternativna"
2016-06-03 09:54:00,17,Ž,Facebook;Snapchat;YouTube,0,0,0,5,0,0,0,5,0,0,Sport,nogomet,pop;r'n'b / soul;rock;jazz;rap / hip-hop
2016-06-07 04:24:00,16,Ž,Facebook;Snapchat;Instagram;Pinterest;Tumblr;YouTube;Vine,3,3,5,2,2,3,3,3,4,5,"branje;gledališče;pisanje poezije, proze;kuhanje, kulinarika",,"pop;r'n'b / soul;rock;rap / hip-hop;punk;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-07 04:42:13,17,Ž,Facebook;Snapchat;Instagram;YouTube,0,0,3,4,5,3,4,4,0,0,"branje;pisanje poezije, proze;slikanje, risanje, fotografija",odbojka,pop;rock;blues
2016-06-07 05:21:31,15,M,Facebook,0,0,0,1,0,0,0,0,3,0,"branje;gledališče;pisanje poezije, proze;glasba, petje;pohodništvo, hoja v hribe;družabne igre;taborniki, skavti","tek, atletika;plezanje;plavanje;kolesarjenje",rock;metal;jazz;punk;folk;blues;klasična glasba
2016-06-07 09:43:23,21,M,Facebook;YouTube,0,0,5,5,0,0,4,0,0,0,"branje;gledališče;glasba, petje;slikanje, risanje, fotografija;ročna dela;pohodništvo, hoja v hribe","borilni športi (taekwondo, karate, aikido...)",rock;metal;punk;folk;blues;klasična glasba
2016-06-07 10:12:59,17,M,Facebook;Snapchat;Instagram;YouTube;skype,0,0,5,5,0,0,0,5,5,0,"branje;gledališče;kuhanje, kulinarika;taborniki, skavti","nogomet;košarka;plavanje;smučanje, bordanje",rock;rap / hip-hop
2016-06-08 12:15:19,17,M,Facebook;Snapchat;Instagram;YouTube,0,,5,5,5,3,3,2,3,3,"branje;glasba, petje;slikanje, risanje, fotografija;pohodništvo, hoja v hribe;družabne igre","odbojka;plavanje;jahanje;smučanje, bordanje","rap / hip-hop;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...);alternativna"
2016-06-08 12:33:10,17,Ž,Facebook;Snapchat;Instagram;YouTube,3,0,3,5,5,0,4,3,0,0,"glasba, petje;slikanje, risanje, fotografija;ročna dela;kuhanje, kulinarika;vrtnarjenje, botanika;družabne igre","nogomet;rokomet;košarka;odbojka;tek, atletika;kolesarjenje;smučanje, bordanje","pop;rock;metal;jazz;rap / hip-hop;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-08 04:01:14,17,Ž,Facebook;Twitter;Snapchat;YouTube,0,0,0,5,4,,0,0,0,0,"branje;glasba, petje;slikanje, risanje, fotografija;ročna dela;kuhanje, kulinarika;vrtnarjenje, botanika;družabne igre","odbojka;tek, atletika;plavanje;kolesarjenje;smučanje, bordanje","pop;r'n'b / soul;jazz;rap / hip-hop;klasična glasba;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-08 09:18:00,17,Ž,Facebook;Snapchat;Instagram;YouTube,3,3,4,4,5,4,4,5,3,5,"branje;slikanje, risanje, fotografija;ročna dela;kuhanje, kulinarika;družabne igre;taborniki, skavti",rokomet,pop;rap / hip-hop;klasična glasba
2016-06-09 10:32:03,17,Ž,Facebook;Twitter;Instagram;Pinterest;YouTube,0,0,0,4,4,1,0,5,0,0,"pisanje poezije, proze;glasba, petje;slikanje, risanje, fotografija;ročna dela;pohodništvo, hoja v hribe",kolesarjenje;jahanje;joga,pop;jazz;blues;klasična glasba
2016-06-10 05:46:17,17,M,Facebook;Snapchat;YouTube,0,0,4,1,3,5,4,1,0,5,"programiranje;taborniki, skavti","smučanje, bordanje;skateanje;borilni športi (taekwondo, karate, aikido...)",metal
2016-06-10 06:30:01,18,Ž,Facebook;Snapchat;YouTube,0,0,0,4,4,0,4,0,0,3,"gledališče;glasba, petje;pohodništvo, hoja v hribe;kuhanje, kulinarika;družabne igre",rokomet,pop;r'n'b / soul;rock;jazz;rap / hip-hop;klasična glasba
2016-06-11 08:41:22,,Ž,Facebook;Snapchat;Instagram;YouTube;Vine,0,0,3,5,5,0,4,4,0,4,"branje;pohodništvo, hoja v hribe;kuhanje, kulinarika;družabne igre;reševanje ugank;y",košarka;plavanje;kolesarjenje,"pop;rock;metal;rap / hip-hop;funk;klasična glasba;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...);alternativna"
2016-06-11 12:39:56,19,Ž,Facebook;Snapchat;Instagram;Pinterest;Tumblr;YouTube,0,4,4,3,3,0,4,0,0,4,,"tek, atletika;joga",pop;rock;alternativna
